AlertID,CardHolderId,CardNumber,ExpirationDate,TransactionID,TransactionChannel,AmountUSD,MerchantName,EmailID,Location,IP,FraudAlertReason,RiskScore,Status
AL2276,MN222,xxxx-xxxx-xxxx-2222,12/2023,HSR180,Telephone,0,Next Plc,lmnopqrstu@mail.net,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,93,Escalated
AL2277,OP333,xxxx-xxxx-xxxx-3333,07/2029,JWM617,In store,234.56,Marks & Spencer,vwxyzabcdef@web.info,"Coventry, UK",104.248.169.251,No shopping history,39,Cleared
AL2278,QR444,xxxx-xxxx-xxxx-4444,01/2033,TDG676,POS,18000,JD Sports,ghijklmnopqrst@domain.co.uk,"Liverpool, UK",134.238.184.178,High amount,88,Resolved
AL2279,ST555,xxxx-xxxx-xxxx-5555,08/2027,NTE860,ATM,1.23,Greggs,uvwxyzabcdefg@example.com,"Sydney, Australia",136.226.102.90,Foreign IP,11,Fraud Detected
AL2280,UV666,xxxx-xxxx-xxxx-6666,03/2030,OYY273,Wallet,0,Whitbread,hijklmnopqrs@test.org,"London, UK",185.220.100.240,Suspicious zero amount attempt,97,Escalated
AL2281,WX777,xxxx-xxxx-xxxx-7777,10/2029,SQW135,Online,567.89,WPP,tuvwxyza@mail.net,"Edinburgh, UK",185.220.101.7,Compromised card,56,Under Review
AL2282,YZ888,xxxx-xxxx-xxxx-8888,05/2031,KOD530,Subscription,19000,Sage Group,bcdefghijk@web.info,"Bristol, UK",192.42.116.198,High amount,84,Action Required
AL2283,AB999,xxxx-xxxx-xxxx-9999,12/2023,IMZ415,Telephone,9.87,Experian,lmnopqrstu@domain.co.uk,"Rome, Italy",72.217.36.105,Low value foreign,15,Fraud Detected
AL2284,CD000,xxxx-xxxx-xxxx-0000,07/2029,BGO606,In store,0,Persimmon,vwxyzabcdef@example.com,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,90,Escalated
AL2285,EF111,xxxx-xxxx-xxxx-1111,01/2033,KXZ543,POS,234.56,Taylor Wimpey,ghijklmnopqrst@test.org,"Birmingham, UK",104.135.196.55,No shopping history,41,Closed
AL2286,GH222,xxxx-xxxx-xxxx-2222,08/2027,WOQ821,ATM,14000,Barratt Developments,uvwxyzabcdefg@mail.net,"Nottingham, UK",104.248.169.251,High amount,85,Resolved
AL2287,IJ333,xxxx-xxxx-xxxx-3333,03/2030,JUZ293,Wallet,1.23,Kingfisher Plc,hijklmnopqrs@web.info,"Milan, Italy",134.238.184.178,Foreign location,10,Fraud Detected
AL2288,KL444,xxxx-xxxx-xxxx-4444,10/2029,TZC282,Online,0,Standard Chartered,tuvwxyza@domain.co.uk,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,96,Escalated
AL2289,MN555,xxxx-xxxx-xxxx-5555,05/2031,WAZ820,Subscription,567.89,NatWest Group,bcdefghijk@example.com,"Coventry, UK",185.220.100.240,Abnormal spending pattern,64,Investigating
AL2290,OP666,xxxx-xxxx-xxxx-6666,12/2023,ZDM589,Telephone,16000,Legal & General,lmnopqrstu@test.org,"Liverpool, UK",185.220.101.7,High amount,81,Under Review
AL2291,QR777,xxxx-xxxx-xxxx-7777,07/2029,XKJ911,In store,9.87,Prudential Plc,vwxyzabcdef@mail.net,"Rome, Italy",192.42.116.198,Low value foreign,19,Fraud Detected
AL2292,ST888,xxxx-xxxx-xxxx-8888,01/2033,JLR983,POS,0,Aviva,ghijklmnopqrst@web.info,"London, UK",72.217.36.105,Suspicious zero amount attempt,97,Escalated
AL2293,UV999,xxxx-xxxx-xxxx-9999,08/2027,MNA346,ATM,234.56,RSA Insurance Group,uvwxyzabcdefg@domain.co.uk,"Edinburgh, UK",107.189.8.56,No shopping history,44,Closed
AL2294,WX000,xxxx-xxxx-xxxx-0000,03/2030,TUA984,Wallet,18000,Centrica,hijklmnopqrs@example.com,"Bristol, UK",104.135.196.55,High amount,88,Resolved
AL2295,YZ111,xxxx-xxxx-xxxx-1111,10/2029,XOY644,Online,1.23,SSE,tuvwxyza@test.org,"Sydney, Australia",104.248.169.251,Foreign IP,10,Fraud Detected
AL2296,AB234,xxxx-xxxx-xxxx-2345,05/2031,ORZ329,Subscription,0,National Express,bcdefghijk@mail.net,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,91,Escalated
AL2297,CD567,xxxx-xxxx-xxxx-5678,12/2023,TGK782,Telephone,567.89,Go-Ahead Group,lmnopqrstu@web.info,"Birmingham, UK",136.226.102.90,Compromised card,53,Under Review
AL2298,EF890,xxxx-xxxx-xxxx-8901,07/2029,XFG192,In store,19000,Stagecoach Group,vwxyzabcdef@domain.co.uk,"Nottingham, UK",185.220.100.240,High amount,84,Action Required
AL2299,GH123,xxxx-xxxx-xxxx-1234,01/2033,YNA228,POS,9.87,FirstGroup,ghijklmnopqrst@example.com,"Rome, Italy",185.220.101.7,Low value foreign,15,Fraud Detected
AL2300,IJ456,xxxx-xxxx-xxxx-4567,08/2027,NPS827,ATM,0,SSP Group,uvwxyzabcdefg@test.org,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,90,Escalated
AL2301,KL789,xxxx-xxxx-xxxx-7890,03/2030,GZK419,Wallet,234.56,Mitchells & Butlers,hijklmnopqrs@mail.net,"Coventry, UK",72.217.36.105,Abnormal spending pattern,62,Investigating
AL2302,MN012,xxxx-xxxx-xxxx-0123,10/2029,QCC224,Online,14000,Domino's Pizza Group,tuvwxyza@web.info,"Liverpool, UK",107.189.8.56,High amount,85,Resolved
AL2303,OP345,xxxx-xxxx-xxxx-3456,05/2031,KXG162,Subscription,1.23,Just Eat Takeaway,bcdefghijk@domain.co.uk,"Lagos, Nigeria",104.135.196.55,Foreign location,10,Fraud Detected
AL2304,QR678,xxxx-xxxx-xxxx-6789,12/2023,JLE618,Telephone,0,Deliveroo,lmnopqrstu@example.com,"London, UK",104.248.169.251,Suspicious zero amount attempt,96,Escalated
AL2305,ST901,xxxx-xxxx-xxxx-9012,07/2029,GRR215,In store,567.89,Ocado Group,vwxyzabcdef@test.org,"Edinburgh, UK",134.238.184.178,No shopping history,41,Closed
AL2306,UV234,xxxx-xxxx-xxxx-2345,01/2033,EEU780,POS,16000,ASOS,ghijklmnopqrst@mail.net,"Bristol, UK",136.226.102.90,High amount,81,Investigating
AL2307,WX567,xxxx-xxxx-xxxx-5678,08/2027,KRV293,ATM,9.87,Boohoo Group,uvwxyzabcdefg@web.info,"Rome, Italy",185.220.100.240,Low value foreign,12,Fraud Detected
AL2308,YZ890,xxxx-xxxx-xxxx-8901,03/2030,DNC401,Wallet,0,Hargreaves Lansdown,hijklmnopqrs@domain.co.uk,"Sheffield, UK",185.220.101.7,Suspicious zero amount attempt,97,Escalated
AL2309,AB111,xxxx-xxxx-xxxx-1111,10/2029,WIK292,Online,234.56,Abrdn,tuvwxyza@example.com,"Birmingham, UK",192.42.116.198,Abnormal spending pattern,65,Investigating
AL2310,CD222,xxxx-xxxx-xxxx-2222,05/2031,GJM470,Subscription,18000,M&G Plc,bcdefghijk@test.org,"Nottingham, UK",72.217.36.105,High amount,88,Resolved
AL2311,EF333,xxxx-xxxx-xxxx-3333,12/2023,SDM729,Telephone,1.23,Phoenix Group Holdings,lmnopqrstu@mail.net,"Sydney, Australia",107.189.8.56,Foreign IP,11,Fraud Detected
AL2312,GH444,xxxx-xxxx-xxxx-4444,07/2029,YEL342,In store,0,Intermediate Capital Group,vwxyzabcdef@web.info,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,94,Escalated
AL2313,IJ555,xxxx-xxxx-xxxx-5555,01/2033,UEO762,POS,567.89,Schroders,ghijklmnopqrst@domain.co.uk,"Coventry, UK",104.248.169.251,Compromised card,50,Investigating
AL2314,KL666,xxxx-xxxx-xxxx-6666,08/2027,TQQ841,ATM,19000,F&C Investment Trust,uvwxyzabcdefg@example.com,"Liverpool, UK",134.238.184.178,High amount,89,Action Required
AL2315,MN777,xxxx-xxxx-xxxx-7777,03/2030,JUW861,Wallet,9.87,Scottish Mortgage Investment Trust,hijklmnopqrs@test.org,"Rome, Italy",136.226.102.90,Low value foreign,15,Fraud Detected
AL2316,OP888,xxxx-xxxx-xxxx-8888,10/2029,MBW538,Online,0,Alliance Trust,tuvwxyza@mail.net,"London, UK",185.220.100.240,Suspicious zero amount attempt,96,Escalated
AL2317,QR999,xxxx-xxxx-xxxx-9999,05/2031,VPZ011,Subscription,234.56,Tesco,bcdefghijk@web.info,"Edinburgh, UK",185.220.101.7,Abnormal spending pattern,61,Under Review
AL2318,ST000,xxxx-xxxx-xxxx-0000,12/2023,WYO468,Telephone,14000,Sainsbury's,lmnopqrstu@domain.co.uk,"Bristol, UK",192.42.116.198,High amount,87,Action Required
AL2319,UV121,xxxx-xxxx-xxxx-1212,07/2029,HMP501,In store,1.23,Barclays,vwxyzabcdef@example.com,"Milan, Italy",72.217.36.105,Foreign location,10,Fraud Detected
AL2320,WX343,xxxx-xxxx-xxxx-3434,01/2033,LKD513,POS,0,Lloyds Bank,ghijklmnopqrst@test.org,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,98,Escalated
AL2321,YZ565,xxxx-xxxx-xxxx-5656,08/2027,MUY210,ATM,567.89,HSBC,uvwxyzabcdefg@mail.net,"Birmingham, UK",104.135.196.55,No shopping history,40,Closed
AL2322,AB787,xxxx-xxxx-xxxx-7878,03/2030,HKU876,Wallet,16000,BT Group,hijklmnopqrs@web.info,"Nottingham, UK",104.248.169.251,High amount,84,Action Required
AL2323,CD909,xxxx-xxxx-xxxx-9090,10/2029,PGG310,Online,9.87,Vodafone,tuvwxyza@domain.co.uk,"Rome, Italy",134.238.184.178,Low value foreign,15,Fraud Detected
AL2324,EF131,xxxx-xxxx-xxxx-1313,05/2031,TPG746,Subscription,0,BP,bcdefghijk@example.com,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,90,Escalated
AL2325,GH353,xxxx-xxxx-xxxx-3535,12/2023,MPM248,Telephone,234.56,Shell,lmnopqrstu@test.org,"Coventry, UK",185.220.100.240,Compromised card,56,Under Review
AL2326,IJ575,xxxx-xxxx-xxxx-5757,07/2029,SIW414,In store,18000,Unilever,vwxyzabcdef@mail.net,"Liverpool, UK",185.220.101.7,High amount,81,Investigating
AL2327,KL797,xxxx-xxxx-xxxx-7979,01/2033,TXV033,POS,1.23,GlaxoSmithKline,ghijklmnopqrst@web.info,"Lagos, Nigeria",192.42.116.198,Foreign IP,11,Fraud Detected
AL2328,MN919,xxxx-xxxx-xxxx-9191,08/2027,ZPB267,ATM,0,AstraZeneca,uvwxyzabcdefg@domain.co.uk,"London, UK",72.217.36.105,Suspicious zero amount attempt,97,Escalated
AL2329,OP101,xxxx-xxxx-xxxx-1010,03/2030,DNT323,Wallet,567.89,Rio Tinto,hijklmnopqrs@example.com,"Edinburgh, UK",107.189.8.56,Abnormal spending pattern,65,Investigating
AL2330,QR323,xxxx-xxxx-xxxx-3232,10/2029,GZP904,Online,19000,BHP Group,tuvwxyza@test.org,"Bristol, UK",104.135.196.55,High amount,89,Action Required
AL2331,ST545,xxxx-xxxx-xxxx-5454,05/2031,PRG008,Subscription,9.87,Diageo,bcdefghijk@mail.net,"Rome, Italy",104.248.169.251,Low value foreign,10,Fraud Detected
AL2332,UV767,xxxx-xxxx-xxxx-7676,12/2023,JYV017,Telephone,0,Reckitt Benckiser,lmnopqrstu@web.info,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,96,Escalated
AL2333,WX989,xxxx-xxxx-xxxx-9898,07/2029,DUL468,In store,567.89,London Stock Exchange,vwxyzabcdef@domain.co.uk,"Birmingham, UK",136.226.102.90,No shopping history,41,Closed
AL2334,YZ000,xxxx-xxxx-xxxx-0000,01/2033,YES444,POS,14000,National Grid,ghijklmnopqrst@example.com,"Nottingham, UK",185.220.100.240,High amount,85,Resolved
AL2335,AB222,xxxx-xxxx-xxxx-2222,08/2027,KYE065,ATM,1.23,Severn Trent,uvwxyzabcdefg@test.org,"Sydney, Australia",185.220.101.7,Foreign location,11,Fraud Detected
AL2336,CD444,xxxx-xxxx-xxxx-4444,03/2030,ITY937,Wallet,0,United Utilities,hijklmnopqrs@mail.net,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,97,Escalated
AL2337,EF666,xxxx-xxxx-xxxx-6666,10/2029,EYG634,Online,234.56,Rolls-Royce,tuvwxyza@web.info,"Coventry, UK",72.217.36.105,Abnormal spending pattern,64,Investigating
AL2338,GH888,xxxx-xxxx-xxxx-8888,05/2031,QVQ306,Subscription,16000,BAE Systems,bcdefghijk@domain.co.uk,"Liverpool, UK",107.189.8.56,High amount,81,Under Review
AL2339,IJ000,xxxx-xxxx-xxxx-0000,12/2023,QSK062,Telephone,9.87,ITV,lmnopqrstu@example.com,"Rome, Italy",104.135.196.55,Low value foreign,12,Fraud Detected
AL2340,KL111,xxxx-xxxx-xxxx-1111,07/2029,LOP959,In store,0,BBC Studios,vwxyzabcdef@test.org,"London, UK",104.248.169.251,Suspicious zero amount attempt,93,Escalated
AL2341,MN222,xxxx-xxxx-xxxx-2222,01/2033,CVW347,POS,567.89,Royal Mail,ghijklmnopqrst@mail.net,"Edinburgh, UK",134.238.184.178,Compromised card,55,Under Review
AL2342,OP333,xxxx-xxxx-xxxx-3333,08/2027,TKU846,ATM,18000,EasyJet,uvwxyzabcdefg@web.info,"Bristol, UK",136.226.102.90,High amount,88,Resolved
AL2343,QR444,xxxx-xxxx-xxxx-4444,03/2030,QZT255,Wallet,1.23,Ryanair,hijklmnopqrs@domain.co.uk,"Milan, Italy",185.220.100.240,Foreign IP,11,Fraud Detected
AL2344,ST555,xxxx-xxxx-xxxx-5555,10/2029,ZXG899,Online,0,British Airways,tuvwxyza@example.com,"Sheffield, UK",185.220.101.7,Suspicious zero amount attempt,97,Escalated
AL2345,UV666,xxxx-xxxx-xxxx-6666,05/2031,ASL470,Subscription,567.89,Jaguar Land Rover,bcdefghijk@test.org,"Birmingham, UK",192.42.116.198,Abnormal spending pattern,61,Under Review
AL2346,WX777,xxxx-xxxx-xxxx-7777,12/2023,DUL961,Telephone,19000,Next Plc,lmnopqrstu@mail.net,"Nottingham, UK",72.217.36.105,High amount,84,Action Required
AL2347,YZ888,xxxx-xxxx-xxxx-8888,07/2029,NMO633,In store,9.87,Marks & Spencer,vwxyzabcdef@web.info,"Rome, Italy",107.189.8.56,Low value foreign,15,Fraud Detected
AL2348,AB999,xxxx-xxxx-xxxx-9999,01/2033,UON991,POS,0,JD Sports,ghijklmnopqrst@domain.co.uk,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,90,Escalated
AL2349,CD000,xxxx-xxxx-xxxx-0000,08/2027,GYJ411,ATM,234.56,Greggs,uvwxyzabcdefg@example.com,"Coventry, UK",104.248.169.251,No shopping history,42,Closed
AL2350,EF111,xxxx-xxxx-xxxx-1111,03/2030,SCD750,Wallet,14000,Whitbread,hijklmnopqrs@test.org,"Liverpool, UK",134.238.184.178,High amount,85,Resolved
AL2351,GH222,xxxx-xxxx-xxxx-2222,10/2029,STV952,Online,1.23,WPP,tuvwxyza@mail.net,"Sydney, Australia",136.226.102.90,Foreign location,10,Fraud Detected
AL2352,IJ333,xxxx-xxxx-xxxx-3333,05/2031,QGN282,Subscription,0,Sage Group,bcdefghijk@web.info,"London, UK",185.220.100.240,Suspicious zero amount attempt,96,Escalated
AL2353,KL444,xxxx-xxxx-xxxx-4444,12/2023,BFU788,Telephone,567.89,Experian,lmnopqrstu@domain.co.uk,"Edinburgh, UK",185.220.101.7,Compromised card,53,Under Review
AL2354,MN555,xxxx-xxxx-xxxx-5555,07/2029,TUU074,In store,16000,Persimmon,vwxyzabcdef@example.com,"Bristol, UK",192.42.116.198,High amount,81,Investigating
AL2355,OP666,xxxx-xxxx-xxxx-6666,01/2033,LPM276,POS,9.87,Taylor Wimpey,ghijklmnopqrst@test.org,"Rome, Italy",72.217.36.105,Low value foreign,12,Fraud Detected
AL2356,QR777,xxxx-xxxx-xxxx-7777,08/2027,AVZ433,ATM,0,Barratt Developments,uvwxyzabcdefg@mail.net,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,93,Escalated
AL2357,ST888,xxxx-xxxx-xxxx-8888,03/2030,GNV142,Wallet,234.56,Kingfisher Plc,hijklmnopqrs@web.info,"Birmingham, UK",104.135.196.55,Abnormal spending pattern,61,Under Review
AL2358,UV999,xxxx-xxxx-xxxx-9999,10/2029,TLI491,Online,18000,Standard Chartered,tuvwxyza@domain.co.uk,"Nottingham, UK",104.248.169.251,High amount,88,Resolved
AL2359,WX000,xxxx-xxxx-xxxx-0000,05/2031,ZGY967,Subscription,1.23,NatWest Group,bcdefghijk@example.com,"Milan, Italy",134.238.184.178,Foreign location,11,Fraud Detected
AL2360,YZ111,xxxx-xxxx-xxxx-1111,12/2023,CVL027,Telephone,0,Legal & General,lmnopqrstu@test.org,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,97,Escalated
AL2361,AB234,xxxx-xxxx-xxxx-2345,07/2029,LXU214,In store,567.89,Prudential Plc,vwxyzabcdef@mail.net,"Coventry, UK",185.220.100.240,No shopping history,40,Closed
AL2362,CD567,xxxx-xxxx-xxxx-5678,01/2033,OMU706,POS,19000,Aviva,ghijklmnopqrst@web.info,"Liverpool, UK",185.220.101.7,High amount,84,Action Required
AL2363,EF890,xxxx-xxxx-xxxx-8901,08/2027,PIE651,ATM,9.87,RSA Insurance Group,uvwxyzabcdefg@domain.co.uk,"Rome, Italy",192.42.116.198,Low value foreign,15,Fraud Detected
AL2364,GH123,xxxx-xxxx-xxxx-1234,03/2030,QIR641,Wallet,0,Centrica,hijklmnopqrs@example.com,"London, UK",72.217.36.105,Suspicious zero amount attempt,90,Escalated
AL2365,IJ456,xxxx-xxxx-xxxx-4567,10/2029,UCW803,Online,234.56,SSE,tuvwxyza@test.org,"Edinburgh, UK",107.189.8.56,Abnormal spending pattern,62,Investigating
AL2366,KL789,xxxx-xxxx-xxxx-7890,05/2031,VSC838,Subscription,14000,National Express,bcdefghijk@mail.net,"Bristol, UK",104.135.196.55,High amount,85,Resolved
AL2367,MN012,xxxx-xxxx-xxxx-0123,12/2023,IZK396,Telephone,1.23,Go-Ahead Group,lmnopqrstu@web.info,"Sydney, Australia",104.248.169.251,Foreign IP,10,Fraud Detected
AL2368,OP345,xxxx-xxxx-xxxx-3456,07/2029,WNS171,In store,0,Stagecoach Group,vwxyzabcdef@domain.co.uk,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,96,Escalated
AL2369,QR678,xxxx-xxxx-xxxx-6789,01/2033,HVV800,POS,567.89,FirstGroup,ghijklmnopqrst@example.com,"Birmingham, UK",136.226.102.90,Compromised card,54,Under Review
AL2370,ST901,xxxx-xxxx-xxxx-9012,08/2027,ONH505,ATM,16000,SSP Group,uvwxyzabcdefg@test.org,"Nottingham, UK",185.220.100.240,High amount,81,Investigating
AL2371,UV234,xxxx-xxxx-xxxx-2345,03/2030,OQS472,Wallet,9.87,Mitchells & Butlers,hijklmnopqrs@mail.net,"Rome, Italy",185.220.101.7,Low value foreign,12,Fraud Detected
AL2372,WX567,xxxx-xxxx-xxxx-5678,10/2029,USB971,Online,0,Domino's Pizza Group,tuvwxyza@web.info,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,93,Escalated
AL2373,YZ890,xxxx-xxxx-xxxx-8901,05/2031,TOT749,Subscription,234.56,Just Eat Takeaway,bcdefghijk@domain.co.uk,"Coventry, UK",72.217.36.105,Abnormal spending pattern,61,Under Review
AL2374,AB111,xxxx-xxxx-xxxx-1111,12/2023,LZT472,Telephone,18000,Deliveroo,lmnopqrstu@example.com,"Liverpool, UK",107.189.8.56,High amount,88,Resolved
AL2375,CD222,xxxx-xxxx-xxxx-2222,07/2029,IWT891,In store,1.23,Ocado Group,vwxyzabcdef@test.org,"Lagos, Nigeria",104.135.196.55,Foreign location,11,Fraud Detected
AL2376,EF333,xxxx-xxxx-xxxx-3333,01/2033,AQV350,POS,0,ASOS,ghijklmnopqrst@mail.net,"London, UK",104.248.169.251,Suspicious zero amount attempt,97,Escalated
AL2377,GH444,xxxx-xxxx-xxxx-4444,08/2027,FNE642,ATM,567.89,Boohoo Group,uvwxyzabcdefg@web.info,"Edinburgh, UK",134.238.184.178,No shopping history,40,Closed
AL2378,IJ555,xxxx-xxxx-xxxx-5555,03/2030,EEA606,Wallet,19000,Hargreaves Lansdown,hijklmnopqrs@domain.co.uk,"Bristol, UK",136.226.102.90,High amount,84,Action Required
AL2379,KL666,xxxx-xxxx-xxxx-6666,10/2029,HJF048,Online,9.87,Abrdn,tuvwxyza@example.com,"Rome, Italy",185.220.100.240,Low value foreign,15,Fraud Detected
AL2380,MN777,xxxx-xxxx-xxxx-7777,05/2031,NFA530,Subscription,0,M&G Plc,bcdefghijk@test.org,"Sheffield, UK",185.220.101.7,Suspicious zero amount attempt,90,Escalated
AL2381,OP888,xxxx-xxxx-xxxx-8888,12/2023,TKD169,Telephone,234.56,Phoenix Group Holdings,lmnopqrstu@mail.net,"Birmingham, UK",192.42.116.198,Compromised card,55,Under Review
AL2382,QR999,xxxx-xxxx-xxxx-9999,07/2029,ECW086,In store,14000,Intermediate Capital Group,vwxyzabcdef@web.info,"Nottingham, UK",72.217.36.105,High amount,85,Resolved
AL2383,ST000,xxxx-xxxx-xxxx-0000,01/2033,VQW884,POS,1.23,Schroders,ghijklmnopqrst@domain.co.uk,"Sydney, Australia",107.189.8.56,Foreign IP,10,Fraud Detected
AL2384,UV121,xxxx-xxxx-xxxx-1212,08/2027,XKV948,ATM,0,F&C Investment Trust,uvwxyzabcdefg@example.com,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,96,Escalated
AL2385,WX343,xxxx-xxxx-xxxx-3434,03/2030,DCS922,Wallet,567.89,Scottish Mortgage Investment Trust,hijklmnopqrs@test.org,"Coventry, UK",104.248.169.251,Abnormal spending pattern,64,Investigating
AL2386,YZ565,xxxx-xxxx-xxxx-5656,10/2029,DXC400,Online,16000,Alliance Trust,tuvwxyza@mail.net,"Liverpool, UK",134.238.184.178,High amount,81,Under Review
AL2387,AB787,xxxx-xxxx-xxxx-7878,05/2031,CMA100,Subscription,9.87,Tesco,bcdefghijk@web.info,"Rome, Italy",136.226.102.90,Low value foreign,12,Fraud Detected
AL2388,CD909,xxxx-xxxx-xxxx-9090,12/2023,HFZ041,Telephone,0,Sainsbury's,lmnopqrstu@domain.co.uk,"London, UK",185.220.100.240,Suspicious zero amount attempt,97,Escalated
AL2389,EF131,xxxx-xxxx-xxxx-1313,07/2029,SDK790,In store,234.56,Barclays,vwxyzabcdef@example.com,"Edinburgh, UK",185.220.101.7,Compromised card,52,Investigating
AL2390,GH353,xxxx-xxxx-xxxx-3535,01/2033,DLS671,POS,18000,Lloyds Bank,ghijklmnopqrst@test.org,"Bristol, UK",192.42.116.198,High amount,88,Resolved
AL2391,IJ575,xxxx-xxxx-xxxx-5757,08/2027,HGH262,ATM,1.23,HSBC,uvwxyzabcdefg@mail.net,"Milan, Italy",72.217.36.105,Foreign location,11,Fraud Detected
AL2392,KL797,xxxx-xxxx-xxxx-7979,03/2030,RJO132,Wallet,0,BT Group,hijklmnopqrs@web.info,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,98,Escalated
AL2393,MN919,xxxx-xxxx-xxxx-9191,10/2029,GZY143,Online,567.89,Vodafone,tuvwxyza@domain.co.uk,"Birmingham, UK",104.135.196.55,No shopping history,40,Closed
AL2394,OP101,xxxx-xxxx-xxxx-1010,05/2031,MBQ448,Subscription,19000,BP,bcdefghijk@example.com,"Nottingham, UK",104.248.169.251,High amount,84,Action Required
AL2395,QR323,xxxx-xxxx-xxxx-3232,12/2023,PQO999,Telephone,9.87,Shell,lmnopqrstu@test.org,"Rome, Italy",134.238.184.178,Low value foreign,15,Fraud Detected
AL2396,ST545,xxxx-xxxx-xxxx-5454,07/2029,QFS607,In store,0,Unilever,vwxyzabcdef@mail.net,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,90,Escalated
AL2397,UV767,xxxx-xxxx-xxxx-7676,01/2033,SSR649,POS,567.89,GlaxoSmithKline,ghijklmnopqrst@web.info,"Coventry, UK",185.220.100.240,Compromised card,56,Under Review
AL2398,WX989,xxxx-xxxx-xxxx-9898,08/2027,VKJ430,ATM,14000,AstraZeneca,uvwxyzabcdefg@domain.co.uk,"Liverpool, UK",185.220.101.7,High amount,81,Investigating
AL2399,YZ000,xxxx-xxxx-xxxx-0000,03/2030,XZC431,Wallet,1.23,Rio Tinto,hijklmnopqrs@example.com,"Lagos, Nigeria",192.42.116.198,Foreign IP,10,Fraud Detected
AL2400,AB222,xxxx-xxxx-xxxx-2222,10/2029,CGO796,Online,0,BHP Group,tuvwxyza@test.org,"London, UK",72.217.36.105,Suspicious zero amount attempt,96,Escalated
AL2401,CD444,xxxx-xxxx-xxxx-4444,05/2031,MKJ764,Subscription,567.89,Diageo,bcdefghijk@mail.net,"Edinburgh, UK",107.189.8.56,Abnormal spending pattern,65,Investigating
AL2402,EF666,xxxx-xxxx-xxxx-6666,12/2023,AKG199,Telephone,16000,Reckitt Benckiser,lmnopqrstu@web.info,"Bristol, UK",104.135.196.55,High amount,89,Action Required
AL2403,GH888,xxxx-xxxx-xxxx-8888,07/2029,NAL190,In store,9.87,London Stock Exchange,vwxyzabcdef@domain.co.uk,"Rome, Italy",104.248.169.251,Low value foreign,14,Fraud Detected
AL2404,IJ000,xxxx-xxxx-xxxx-0000,01/2033,FJU161,POS,0,National Grid,ghijklmnopqrst@example.com,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,95,Escalated
AL2405,KL111,xxxx-xxxx-xxxx-1111,08/2027,KQP452,ATM,234.56,Severn Trent,uvwxyzabcdefg@test.org,"Birmingham, UK",136.226.102.90,No shopping history,41,Closed
AL2406,MN222,xxxx-xxxx-xxxx-2222,03/2030,XGD914,Wallet,18000,United Utilities,hijklmnopqrs@mail.net,"Nottingham, UK",185.220.100.240,High amount,86,Resolved
AL2407,OP333,xxxx-xxxx-xxxx-3333,10/2029,RLV796,Online,1.23,Rolls-Royce,tuvwxyza@web.info,"Sydney, Australia",185.220.101.7,Foreign location,11,Fraud Detected
AL2408,QR444,xxxx-xxxx-xxxx-4444,05/2031,WXW544,Subscription,0,BAE Systems,bcdefghijk@domain.co.uk,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,97,Escalated
AL2409,ST555,xxxx-xxxx-xxxx-5555,12/2023,XZG341,Telephone,567.89,ITV,lmnopqrstu@example.com,"Coventry, UK",72.217.36.105,Compromised card,54,Under Review
AL2410,UV767,xxxx-xxxx-xxxx-7676,07/2029,DOX440,In store,19000,BBC Studios,vwxyzabcdef@test.org,"Liverpool, UK",107.189.8.56,High amount,85,Action Required
AL2411,WX989,xxxx-xxxx-xxxx-9898,01/2033,RRB217,POS,9.87,Royal Mail,ghijklmnopqrst@mail.net,"Rome, Italy",104.135.196.55,Low value foreign,10,Fraud Detected
AL2412,YZ000,xxxx-xxxx-xxxx-0000,08/2027,BLT167,ATM,0,EasyJet,uvwxyzabcdefg@web.info,"London, UK",104.248.169.251,Suspicious zero amount attempt,96,Escalated
AL2413,AB222,xxxx-xxxx-xxxx-2222,03/2030,LSP871,Wallet,234.56,Ryanair,hijklmnopqrs@domain.co.uk,"Edinburgh, UK",134.238.184.178,Abnormal spending pattern,61,Under Review
AL2414,CD444,xxxx-xxxx-xxxx-4444,10/2029,YKU216,Online,14000,British Airways,tuvwxyza@example.com,"Bristol, UK",136.226.102.90,High amount,87,Action Required
